submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
12/3/2021,4463,14,2021,Dec,NJ,12,December,44533
3/1/2021,3140,21,2021,Mar,NJ,3,March,44256
10/27/2021,1289,33,2021,Oct,NJ,10,October,44496
5/19/2021,444,32,2021,May,NJ,5,May,44335
2/24/2021,3119,99,2021,Feb,NJ,2,February,44251
12/16/2021,7223,16,2021,Dec,NJ,12,December,44546
7/22/2021,746,2,2021,Jul,NJ,7,July,44399
12/6/2021,2989,8,2021,Dec,NJ,12,December,44536
7/13/2021,363,7,2021,Jul,NJ,7,July,44390
1/14/2021,7092,92,2021,Jan,NJ,1,January,44210
8/29/2021,1850,5,2021,Aug,NJ,8,August,44437
1/27/2021,4810,115,2021,Jan,NJ,1,January,44223
4/24/2021,2783,39,2021,Apr,NJ,4,April,44310
10/11/2021,954,6,2021,Oct,NJ,10,October,44480
4/28/2021,2113,49,2021,Apr,NJ,4,April,44314
7/18/2021,428,3,2021,Jul,NJ,7,July,44395
11/2/2021,1215,24,2021,Nov,NJ,11,November,44502
2/27/2021,4134,46,2021,Feb,NJ,2,February,44254
5/8/2021,650,22,2021,May,NJ,5,May,44324
9/25/2021,2234,16,2021,Sep,NJ,9,September,44464
4/6/2021,3710,51,2021,Apr,NJ,4,April,44292
2/17/2021,4109,135,2021,Feb,NJ,2,February,44244
8/30/2021,1508,15,2021,Aug,NJ,8,August,44438
1/28/2021,4746,81,2021,Jan,NJ,1,January,44224
10/3/2021,1454,7,2021,Oct,NJ,10,October,44472
12/30/2021,35175,33,2021,Dec,NJ,12,December,44560
6/18/2021,205,3,2021,Jun,NJ,6,June,44365
5/14/2021,323,26,2021,May,NJ,5,May,44330
11/15/2021,1362,5,2021,Nov,NJ,11,November,44515
4/25/2021,1694,13,2021,Apr,NJ,4,April,44311
10/5/2021,1648,37,2021,Oct,NJ,10,October,44474
9/20/2021,1623,12,2021,Sep,NJ,9,September,44459
7/16/2021,494,2,2021,Jul,NJ,7,July,44393
9/21/2021,2165,38,2021,Sep,NJ,9,September,44460
7/12/2021,215,4,2021,Jul,NJ,7,July,44389
11/27/2021,1990,9,2021,Nov,NJ,11,November,44527
8/25/2021,2113,21,2021,Aug,NJ,8,August,44433
2/21/2021,2031,24,2021,Feb,NJ,2,February,44248
2/1/2021,3517,29,2021,Feb,NJ,2,February,44228
4/2/2021,4529,24,2021,Apr,NJ,4,April,44288
12/10/2021,5463,17,2021,Dec,NJ,12,December,44540
10/22/2021,1706,23,2021,Oct,NJ,10,October,44491
6/2/2021,273,28,2021,Jun,NJ,6,June,44349
4/12/2021,1583,26,2021,Apr,NJ,4,April,44298
1/30/2021,5274,108,2021,Jan,NJ,1,January,44226
5/18/2021,646,23,2021,May,NJ,5,May,44334
7/27/2021,794,7,2021,Jul,NJ,7,July,44404
11/28/2021,1869,4,2021,Nov,NJ,11,November,44528
7/25/2021,596,2,2021,Jul,NJ,7,July,44402
2/6/2021,4511,78,2021,Feb,NJ,2,February,44233
4/9/2021,4193,43,2021,Apr,NJ,4,April,44295
12/1/2021,3188,19,2021,Dec,NJ,12,December,44531
8/11/2021,1686,6,2021,Aug,NJ,8,August,44419
8/14/2021,2564,11,2021,Aug,NJ,8,August,44422
2/25/2021,3577,70,2021,Feb,NJ,2,February,44252
8/12/2021,1854,7,2021,Aug,NJ,8,August,44420
5/13/2021,428,24,2021,May,NJ,5,May,44329
11/22/2021,1543,11,2021,Nov,NJ,11,November,44522
6/12/2021,249,3,2021,Jun,NJ,6,June,44359
5/28/2021,266,12,2021,May,NJ,5,May,44344
2/7/2021,4332,25,2021,Feb,NJ,2,February,44234
3/9/2021,4126,45,2021,Mar,NJ,3,March,44264
8/22/2021,1450,2,2021,Aug,NJ,8,August,44430
3/16/2021,3878,41,2021,Mar,NJ,3,March,44271
7/6/2021,154,0,2021,Jul,NJ,7,July,44383
6/22/2021,246,15,2021,Jun,NJ,6,June,44369
8/15/2021,1274,3,2021,Aug,NJ,8,August,44423
1/12/2021,4587,107,2021,Jan,NJ,1,January,44208
4/15/2021,3917,47,2021,Apr,NJ,4,April,44301
11/3/2021,1298,7,2021,Nov,NJ,11,November,44503
12/17/2021,7397,16,2021,Dec,NJ,12,December,44547
10/21/2021,1468,22,2021,Oct,NJ,10,October,44490
1/19/2021,4628,54,2021,Jan,NJ,1,January,44215
10/26/2021,1473,33,2021,Oct,NJ,10,October,44495
10/10/2021,1433,7,2021,Oct,NJ,10,October,44479
10/6/2021,1852,17,2021,Oct,NJ,10,October,44475
9/5/2021,1714,6,2021,Sep,NJ,9,September,44444
5/26/2021,395,35,2021,May,NJ,5,May,44342
5/29/2021,255,16,2021,May,NJ,5,May,44345
9/11/2021,2494,15,2021,Sep,NJ,9,September,44450
1/25/2021,4143,21,2021,Jan,NJ,1,January,44221
6/21/2021,126,3,2021,Jun,NJ,6,June,44368
5/2/2021,1198,12,2021,May,NJ,5,May,44318
9/8/2021,3498,29,2021,Sep,NJ,9,September,44447
5/20/2021,561,23,2021,May,NJ,5,May,44336
8/20/2021,2940,8,2021,Aug,NJ,8,August,44428
5/1/2021,1589,34,2021,May,NJ,5,May,44317
8/16/2021,1304,1,2021,Aug,NJ,8,August,44424
7/30/2021,1119,5,2021,Jul,NJ,7,July,44407
3/3/2021,3691,128,2021,Mar,NJ,3,March,44258
9/14/2021,2038,22,2021,Sep,NJ,9,September,44453
3/14/2021,3310,15,2021,Mar,NJ,3,March,44269
8/26/2021,2054,11,2021,Aug,NJ,8,August,44434
4/29/2021,2359,20,2021,Apr,NJ,4,April,44315
2/12/2021,3732,64,2021,Feb,NJ,2,February,44239
9/6/2021,1951,4,2021,Sep,NJ,9,September,44445
11/24/2021,2208,12,2021,Nov,NJ,11,November,44524
11/21/2021,1602,4,2021,Nov,NJ,11,November,44521
3/28/2021,4509,7,2021,Mar,NJ,3,March,44283
2/9/2021,3576,92,2021,Feb,NJ,2,February,44236
12/11/2021,4596,25,2021,Dec,NJ,12,December,44541
3/25/2021,3946,38,2021,Mar,NJ,3,March,44280
12/7/2021,3950,29,2021,Dec,NJ,12,December,44537
3/29/2021,3621,15,2021,Mar,NJ,3,March,44284
7/20/2021,658,12,2021,Jul,NJ,7,July,44397
3/30/2021,4871,82,2021,Mar,NJ,3,March,44285
6/6/2021,209,6,2021,Jun,NJ,6,June,44353
2/26/2021,3870,45,2021,Feb,NJ,2,February,44253
1/23/2021,7147,59,2021,Jan,NJ,1,January,44219
2/4/2021,3289,100,2021,Feb,NJ,2,February,44231
11/12/2021,1821,6,2021,Nov,NJ,11,November,44512
6/15/2021,249,11,2021,Jun,NJ,6,June,44362
4/11/2021,3387,11,2021,Apr,NJ,4,April,44297
9/1/2021,2283,20,2021,Sep,NJ,9,September,44440
7/7/2021,283,13,2021,Jul,NJ,7,July,44384
2/8/2021,2561,22,2021,Feb,NJ,2,February,44235
5/7/2021,967,29,2021,May,NJ,5,May,44323
1/24/2021,5272,17,2021,Jan,NJ,1,January,44220
7/1/2021,218,5,2021,Jul,NJ,7,July,44378
6/17/2021,238,7,2021,Jun,NJ,6,June,44364
11/1/2021,821,8,2021,Nov,NJ,11,November,44501
5/30/2021,246,6,2021,May,NJ,5,May,44346
6/30/2021,195,13,2021,Jun,NJ,6,June,44377
11/4/2021,1504,0,2021,Nov,NJ,11,November,44504
12/19/2021,7345,6,2021,Dec,NJ,12,December,44549
10/16/2021,1452,28,2021,Oct,NJ,10,October,44485
4/18/2021,3149,9,2021,Apr,NJ,4,April,44304
3/23/2021,4803,61,2021,Mar,NJ,3,March,44278
1/17/2021,5132,25,2021,Jan,NJ,1,January,44213
12/2/2021,4462,11,2021,Dec,NJ,12,December,44532
6/23/2021,268,18,2021,Jun,NJ,6,June,44370
3/8/2021,2307,16,2021,Mar,NJ,3,March,44263
1/22/2021,4200,115,2021,Jan,NJ,1,January,44218
9/2/2021,2542,17,2021,Sep,NJ,9,September,44441
