submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
8/18/2021,2658,15,2021,Aug,NY,8,August,44426
5/4/2021,1341,26,2021,May,NY,5,May,44320
4/22/2021,2798,22,2021,Apr,NY,4,April,44308
3/25/2021,4048,15,2021,Mar,NY,3,March,44280
3/18/2021,3748,23,2021,Mar,NY,3,March,44273
12/5/2021,7830,32,2021,Dec,NY,12,December,44535
7/15/2021,406,1,2021,Jul,NY,7,July,44392
3/7/2021,3282,27,2021,Mar,NY,3,March,44262
9/12/2021,3735,20,2021,Sep,NY,9,September,44451
12/6/2021,4557,43,2021,Dec,NY,12,December,44536
3/28/2021,4193,14,2021,Mar,NY,3,March,44283
7/22/2021,650,1,2021,Jul,NY,7,July,44399
5/18/2021,628,9,2021,May,NY,5,May,44334
10/5/2021,2724,28,2021,Oct,NY,10,October,44474
1/18/2021,6957,116,2021,Jan,NY,1,January,44214
6/30/2021,131,2,2021,Jun,NY,6,June,44377
2/19/2021,3838,67,2021,Feb,NY,2,February,44246
6/29/2021,106,1,2021,Jun,NY,6,June,44376
1/12/2021,9220,122,2021,Jan,NY,1,January,44208
7/14/2021,336,2,2021,Jul,NY,7,July,44391
